Year of Birth,Gender,Ethnicity,Child's First Name,Count
2011,male,hispanic,jayden,426
2019,male,hispanic,liam,423
2017,male,hispanic,liam,407
2018,male,hispanic,liam,399
2016,male,hispanic,liam,387
2012,male,hispanic,jayden,364
2015,male,hispanic,liam,356
2013,male,hispanic,jayden,352
2016,male,hispanic,jacob,351
2015,male,hispanic,dylan,339
2015,male,hispanic,ethan,332
2011,female,hispanic,isabella,331
2014,female,hispanic,isabella,331
2012,female,hispanic,isabella,327
2013,female,hispanic,isabella,326
2014,male,hispanic,liam,312
2016,male,hispanic,dylan,312
2011,male,hispanic,justin,310
2015,male,hispanic,matthew,308
2015,female,hispanic,isabella,307
2013,male,white non hispanic,david,304
2011,male,hispanic,jacob,303
2012,male,asian and pacific islander,joseph,300
2014,male,white non hispanic,joseph,300
2015,male,white non hispanic,david,299
2013,male,hispanic,jacob,297
2016,male,hispanic,matthew,297
2015,male,hispanic,noah,297
2012,male,hispanic,jacob,293
2015,male,hispanic,jacob,293
2011,male,white non hispanic,michael,292
2014,male,hispanic,dylan,292
2014,male,hispanic,jacob,292
2013,female,hispanic,sophia,291
2017,male,hispanic,jacob,290
2012,male,asian and pacific islander,david,289
2017,male,hispanic,dylan,287
2018,female,hispanic,isabella,285
2013,male,white non hispanic,joseph,283
2017,male,white non hispanic,david,282
2014,male,hispanic,noah,282
2011,male,white non hispanic,joseph,281
2015,male,white non hispanic,joseph,279
2017,male,white non hispanic,joseph,279
2012,male,hispanic,matthew,279
2016,female,hispanic,isabella,276
2011,male,hispanic,matthew,276
2017,male,hispanic,matthew,276
2018,male,white non hispanic,david,274
2014,male,white non hispanic,david,272
2013,male,hispanic,dylan,270
2015,female,hispanic,sophia,269
2016,male,hispanic,noah,269
2014,male,white non hispanic,michael,268
2014,male,white non hispanic,moshe,267
2015,male,hispanic,jayden,267
2013,male,white non hispanic,michael,266
2014,male,hispanic,jayden,266
2011,male,white non hispanic,jacob,265
2015,male,hispanic,sebastian,265
2017,male,white non hispanic,jacob,264
2018,male,hispanic,noah,262
2019,male,hispanic,noah,262
2013,male,white non hispanic,moshe,262
2014,male,hispanic,ethan,262
2016,female,hispanic,sophia,261
2016,male,white non hispanic,joseph,261
2017,female,white non hispanic,esther,260
2016,male,white non hispanic,michael,260
2014,female,hispanic,sophia,259
2011,male,white non hispanic,david,258
2015,female,hispanic,mia,257
2014,male,hispanic,matthew,257
2014,male,white non hispanic,jacob,256
2016,male,hispanic,sebastian,256
2014,female,hispanic,mia,255
2016,male,white non hispanic,david,255
2017,male,hispanic,noah,255
2015,male,white non hispanic,moshe,254
2012,male,hispanic,ethan,254
2013,male,hispanic,matthew,253
2011,male,hispanic,angel,253
2017,male,hispanic,sebastian,253
2019,male,white non hispanic,david,252
2013,male,hispanic,ethan,252
2018,male,hispanic,matthew,251
2011,male,hispanic,ethan,251
2017,female,hispanic,mia,250
2016,male,hispanic,ethan,250
2014,female,white non hispanic,olivia,248
2018,male,white non hispanic,joseph,248
2018,female,white non hispanic,esther,246
2017,female,hispanic,isabella,245
2012,male,asian and pacific islander,michael,245
2018,male,hispanic,dylan,244
2017,male,hispanic,jayden,244
2019,male,hispanic,matthew,242
2012,male,asian and pacific islander,jacob,242
2018,male,hispanic,sebastian,242
2018,male,hispanic,jacob,241
2014,male,hispanic,sebastian,241
2016,male,white non hispanic,moshe,239
2011,male,hispanic,christopher,239
2012,male,asian and pacific islander,moshe,238
2013,female,hispanic,mia,237
2012,female,hispanic,sophia,236
2015,male,white non hispanic,jacob,236
2012,male,hispanic,angel,236
2016,male,white non hispanic,jacob,236
2012,male,hispanic,aiden,235
2015,male,white non hispanic,benjamin,234
2013,female,white non hispanic,olivia,233
2014,female,white non hispanic,esther,233
2019,male,white non hispanic,joseph,233
2019,male,white non hispanic,michael,233
2013,male,white non hispanic,daniel,233
2014,male,white non hispanic,benjamin,233
2019,male,white non hispanic,moshe,232
2012,male,asian and pacific islander,daniel,232
2013,male,white non hispanic,benjamin,232
2019,female,hispanic,isabella,231
2017,female,white non hispanic,leah,231
2015,male,white non hispanic,michael,231
2016,male,white non hispanic,james,231
2016,male,hispanic,jayden,231
2016,female,white non hispanic,olivia,230
2011,male,white non hispanic,benjamin,230
2011,female,hispanic,mia,229
2012,female,asian and pacific islander,emma,228
2013,female,white non hispanic,emma,228
2014,female,white non hispanic,rachel,228
2016,female,hispanic,mia,228
2017,female,white non hispanic,olivia,228
2012,male,hispanic,daniel,228
2012,male,asian and pacific islander,alexander,227
2013,male,hispanic,daniel,226
2015,female,white non hispanic,emma,225
2015,female,white non hispanic,olivia,225
2013,male,hispanic,alexander,225
2014,male,white non hispanic,alexander,225
2011,female,white non hispanic,esther,224
2011,male,white non hispanic,moshe,224
2011,female,hispanic,sophia,223
2017,male,white non hispanic,moshe,223
2013,male,white non hispanic,james,223
2014,male,white non hispanic,daniel,223
2017,female,hispanic,emma,222
2017,male,hispanic,lucas,222
2016,female,white non hispanic,rachel,221
2018,male,white non hispanic,michael,221
2011,male,hispanic,daniel,221
2015,female,white non hispanic,leah,220
2018,female,white non hispanic,leah,220
2013,male,asian and pacific islander,jayden,220
2018,male,white non hispanic,moshe,220
2015,male,white non hispanic,daniel,220
2012,female,asian and pacific islander,leah,219
2016,male,white non hispanic,benjamin,219
2011,male,hispanic,alexander,219
2012,male,asian and pacific islander,benjamin,218
2013,male,hispanic,angel,218
2018,male,white non hispanic,jacob,217
2013,male,white non hispanic,jacob,217
2013,male,hispanic,noah,217
2018,male,hispanic,jayden,216
2018,female,hispanic,emma,215
2019,male,hispanic,sebastian,215
2012,male,hispanic,justin,215
2018,male,hispanic,ethan,215
2013,female,white non hispanic,esther,214
2018,female,white non hispanic,sarah,214
2017,female,hispanic,sophia,214
2011,female,white non hispanic,emma,213
2011,female,white non hispanic,olivia,213
